iter	F1	Logloss
0	0.7498644209	0.6706857399
1	0.7462626543	0.6539781699
2	0.747750529	0.6339807587
3	0.7525191084	0.615324686
4	0.755936977	0.5997199968
5	0.7624711329	0.5866872845
6	0.7638527522	0.5742776156
7	0.7623569133	0.5660468283
8	0.762786001	0.5569591616
9	0.7636487431	0.5492126623
10	0.7659008635	0.5403664319
11	0.7658178695	0.5346751954
12	0.7656826421	0.5288156523
13	0.7668984552	0.5221865719
14	0.7681098932	0.5157748978
15	0.7688989866	0.5106134417
16	0.7709617478	0.5050111451
17	0.7723712016	0.5008661409
18	0.7734601104	0.496343725
19	0.7738762635	0.4931433877
20	0.7738986035	0.4906330085
21	0.7740190944	0.4880885509
22	0.7742099178	0.4856041361
23	0.7752724891	0.4834725678
24	0.7751032427	0.481121978
25	0.7750902194	0.4787778673
26	0.7759798916	0.4761009951
27	0.7763377509	0.474304
28	0.777042077	0.4728070083
29	0.7774788754	0.4706157117
30	0.7780552717	0.4689979453
31	0.7788184333	0.4670334026
32	0.7798838438	0.4655443597
33	0.7798965323	0.4644655489
34	0.780867249	0.4624835102
35	0.7818976113	0.4609706368
36	0.7821681262	0.4601059699
37	0.7822010533	0.4597200499
38	0.7839505284	0.4578344293
39	0.7837320318	0.4571244037
40	0.7841822281	0.4560157225
41	0.7848238284	0.4542517023
42	0.7853832343	0.4534487495
43	0.7861165616	0.4517417957
44	0.7862584015	0.4507984586
45	0.7867207825	0.4498828143
46	0.7877408249	0.4485457006
47	0.7884217387	0.4470506164
48	0.7887713775	0.4462722934
49	0.7893370138	0.4454296776
50	0.7893912607	0.4451580281
51	0.7899939327	0.4437463984
52	0.7901835374	0.4427961756
53	0.7902908335	0.4418840171
54	0.7905998756	0.4411523728
55	0.7912060419	0.4405731454
56	0.7917282622	0.4402508402
57	0.7918263363	0.439218176
58	0.791872966	0.4386605881
59	0.7923839617	0.4376962309
60	0.7929554823	0.4371138334
61	0.7933657993	0.4363183991
62	0.7934886348	0.4355289302
63	0.7943550562	0.4347141556
64	0.7945663863	0.4339342303
65	0.7946391046	0.4331390851
66	0.794959566	0.4325565368
67	0.7951073394	0.432171109
68	0.795393696	0.4314304721
69	0.7955471549	0.4310763027
70	0.7958091622	0.4303630425
71	0.7964677213	0.4296187672
72	0.7964677213	0.4294323607
73	0.7968095578	0.4289119948
74	0.7973205115	0.4284628522
75	0.7974152554	0.4280576482
76	0.7974370584	0.4277073719
77	0.7974882208	0.4276173175
78	0.797777317	0.427111069
79	0.7978910248	0.4268546249
80	0.7981676541	0.4265339757
81	0.7986419656	0.4259692419
82	0.7991636888	0.425290535
83	0.7993728599	0.4247264959
84	0.7994231141	0.4246070832
85	0.7996989804	0.4242284608
86	0.8000863263	0.423673574
87	0.8002698654	0.4235163438
88	0.800486579	0.4229829803
89	0.8004399743	0.4228585407
90	0.8010349893	0.4219642196
91	0.8013894461	0.4212153887
92	0.8013226416	0.4209236449
93	0.8016820066	0.420380836
94	0.8023834354	0.4197723429
95	0.8022466987	0.4193308078
96	0.8026272146	0.4188831131
97	0.8031129306	0.4184212218
98	0.8032778343	0.4179521128
99	0.8035471891	0.4177077446
100	0.8035207331	0.4174379105
101	0.8038800123	0.4169793524
102	0.8039082416	0.4166717282
103	0.8042193807	0.4164120866
104	0.8040993378	0.4160908146
105	0.8041117635	0.4159196513
106	0.8045251477	0.4155029703
107	0.8044418201	0.4151717531
108	0.804633446	0.4151343951
109	0.8045704633	0.4148163975
110	0.80464134	0.4147748275
111	0.8047738773	0.4146907175
112	0.8047738773	0.414690717
113	0.8051249286	0.4144118775
114	0.8054011434	0.4139676004
115	0.8054189278	0.4138795559
116	0.8055127346	0.4137022949
117	0.8056957307	0.4134670946
118	0.8063256496	0.4130613795
119	0.8065562114	0.4126622984
120	0.8067988826	0.4124476856
121	0.8066639422	0.4121414578
122	0.8066271035	0.4119445996
123	0.8067582355	0.4119008454
124	0.8070215382	0.4117581103
125	0.8070004471	0.4116185317
126	0.8068825957	0.4114564588
127	0.8070270245	0.4111819215
128	0.8076237039	0.4106388027
129	0.8077727228	0.4105044612
130	0.8080833887	0.4100370095
131	0.8085138213	0.409647803
132	0.8088329741	0.4093407625
133	0.8087237151	0.409190238
134	0.8089760343	0.4089482408
135	0.8090272453	0.4086380597
136	0.8091830274	0.4084640905
137	0.8093458799	0.4082832101
138	0.8096128107	0.4079318709
139	0.809786512	0.4078936924
140	0.8099139819	0.4077404903
141	0.8101903569	0.4073713375
142	0.810615603	0.4069268971
143	0.8106625313	0.4068525468
144	0.8106344463	0.4068460599
145	0.8107599437	0.4067119952
146	0.8110546269	0.4061928444
147	0.8111527277	0.4061391344
148	0.8113997895	0.4058547864
149	0.8114093605	0.405844528
150	0.8113809672	0.4058307321
151	0.8115589587	0.4056980865
152	0.8118112342	0.4055085086
153	0.8116746192	0.40509459
154	0.8121704934	0.4047075125
155	0.8120061909	0.4044942959
156	0.8120244152	0.4041051274
157	0.812089227	0.4039511761
158	0.8123317024	0.40378929
159	0.8125937648	0.4034214237
160	0.8128462256	0.403131472
161	0.8131827409	0.4028318837
162	0.8131827409	0.4028318836
163	0.8132893352	0.4024816526
164	0.8133220105	0.4023023204
165	0.8135180507	0.4021223311
166	0.8134897949	0.401963188
167	0.8139796476	0.4014959213
168	0.8139324688	0.4012707522
169	0.8139744194	0.4009268188
170	0.8139322703	0.4008518872
171	0.8142688101	0.400483157
172	0.814641678	0.399892358
173	0.8147255715	0.3998780774
174	0.8147489462	0.3998681725
175	0.8147395007	0.3998397318
176	0.8147066777	0.3998255138
177	0.8148701424	0.3995513541
178	0.8150290791	0.3991833586
