iter	Passed	Remaining
0	420	317180
1	662	249328
2	1161	291095
3	1532	287761
4	1973	295966
5	2483	310002
6	2979	318345
7	3177	296704
8	3643	301982
9	4050	301773
10	4651	314637
11	5014	310492
12	5570	317944
13	6057	320612
14	6515	321439
15	6981	322458
16	7528	326813
17	8002	327677
18	8503	329397
19	8988	330341
20	9455	330478
21	9922	330603
22	10342	329163
23	10802	329019
24	11290	329689
25	11860	332546
26	12366	333448
27	12861	333944
28	13349	334203
29	13810	333742
30	14274	333373
31	14756	333400
32	15225	333108
33	15696	332854
34	16212	333513
35	16721	333973
36	17187	333524
37	17349	327353
38	17846	327650
39	18108	323686
40	18593	323803
41	19075	323828
42	19502	322921
43	20026	323605
44	20502	323479
45	20985	323448
46	21492	323762
47	22004	324108
48	22484	323959
49	22977	323981
50	23304	321696
51	23778	321465
52	24222	320838
53	24672	320282
54	25158	320193
55	25658	320271
56	25961	317917
57	26554	319116
58	27128	320026
59	27680	320626
60	28159	320368
61	28667	320427
62	29318	322042
63	29800	321749
64	30286	321501
65	30793	321464
66	31198	320370
67	31850	321781
68	32483	322953
69	33076	323673
70	33631	324003
71	34217	324594
72	34489	322216
73	35034	322410
74	35562	322434
75	36086	322406
76	36439	320860
77	36659	318189
78	37128	317707
79	37600	317253
80	38080	316865
81	38597	316780
82	39121	316741
83	39574	316126
84	39772	313497
85	40246	313078
86	40733	312758
87	41031	310998
88	41542	310870
89	41852	309241
90	42359	309083
91	42862	308892
92	43326	308410
93	43826	308186
94	44315	307876
95	44778	307384
96	45275	307124
97	45866	307493
98	46358	307185
99	46876	307041
100	47358	306659
101	47882	306541
102	48377	306234
103	48836	305700
104	49334	305406
105	49831	305102
106	50280	304501
107	50763	304111
108	50931	301848
109	51398	301380
110	51591	299324
111	51824	297527
112	51932	295048
113	52397	294621
114	52850	294126
115	53110	292563
116	53508	291783
117	53960	291292
118	54468	291109
119	54979	290932
120	55404	290301
121	55969	290399
122	56484	290230
123	56781	288946
124	57282	288702
125	57571	287402
126	57925	286436
127	58266	285412
128	58756	285128
129	59109	284181
130	59754	284631
131	60290	284554
132	60834	284502
133	61379	284454
134	61887	284224
135	62399	284010
136	62938	283912
137	63412	283517
138	63942	283372
139	64112	281635
140	64649	281523
141	65138	281197
142	65658	281001
143	65946	279814
144	66088	278025
145	66602	277812
146	67206	277970
147	67451	276642
148	67921	276245
149	68091	274635
150	68212	272851
151	68673	272433
152	69173	272172
153	69642	271787
154	70216	271805
155	70800	271856
156	71278	271494
157	71779	271216
158	72214	270690
159	72702	270363
160	73193	270044
161	73667	269660
162	73777	267953
163	74232	267509
164	74715	267165
165	75175	266736
166	75678	266459
167	76183	266188
168	76728	266053
169	77210	265695
170	77586	264972
171	78152	264901
172	78733	264873
173	78930	263556
174	79072	262070
175	79278	260808
176	79459	259478
177	79948	259160
178	80463	258920
179	80941	258564
180	81462	258339
181	81869	257755
182	82339	257366
183	82563	256215
184	83115	256085
185	83290	254796
186	83566	253828
187	84110	253674
188	84718	253705
189	85224	253432
190	85698	253058
191	86157	252638
192	86608	252198
193	87158	252041
194	87662	251748
195	88134	251363
196	88629	251040
197	89095	250638
198	89651	250483
199	90140	250139
200	90655	249865
201	91248	249803
202	91829	249705
203	92078	248701
204	92686	248672
205	93237	248483
206	93731	248139
207	93972	247129
208	94578	247081
209	94925	246354
210	95464	246127
211	95978	245831
212	96480	245504
213	96945	245082
214	97455	244771
215	97987	244513
216	98489	244180
217	98979	243815
218	99515	243563
219	100038	243275
220	100521	242889
221	100994	242477
222	101483	242105
223	101949	241674
224	102436	241295
225	102908	240879
226	103422	240560
227	103924	240211
228	104437	239887
229	104941	239540
230	105461	239228
231	106064	239102
232	106595	238809
233	107108	238476
234	107632	238165
235	108116	237765
236	108565	237286
237	109027	236835
238	109500	236411
239	110057	236165
240	110627	235944
241	111201	235727
242	111806	235575
243	112286	235157
244	112799	234807
245	113325	234482
246	113825	234102
247	114323	233717
248	114831	233353
249	115341	232990
250	115836	232595
251	116397	232332
252	116898	231948
253	117407	231579
254	117918	231212
255	118427	230841
256	118912	230422
257	119405	230018
258	119928	229669
259	120402	229227
260	120889	228809
261	121359	228359
262	121850	227948
263	122425	227692
264	122904	227257
265	123399	226850
266	123904	226462
267	124393	226043
268	124848	225563
269	125339	225146
270	125865	224792
271	126361	224384
272	126824	223916
273	127292	223458
274	127758	222997
275	128266	222607
276	128738	222155
277	129187	221662
278	129652	221198
279	130138	220771
280	130562	220237
281	131012	219748
282	131454	219245
283	131891	218735
284	132301	218180
285	132713	217631
286	133140	217107
287	133597	216631
288	134036	216128
289	134495	215656
290	134938	215159
291	135404	214698
292	135897	214281
293	136351	213802
294	136778	213281
295	137173	212711
296	137592	212180
297	138028	211674
298	138488	211206
299	138992	210805
300	139638	210617
301	140156	210234
302	140688	209872
303	141192	209466
304	141729	209109
305	142349	208872
306	142960	208620
307	143600	208407
308	144173	208095
309	144685	207693
310	145213	207314
311	145685	206854
312	146218	206480
313	146699	206033
314	147236	205664
315	147773	205292
316	148270	204865
317	148722	204376
318	149215	203943
319	149734	203545
320	150208	203086
321	150632	202558
322	151132	202134
323	151599	201665
324	152202	201375
325	152697	200941
326	153125	200421
327	153603	199965
328	154087	199517
329	154590	199093
330	155091	198667
331	155564	198203
332	156037	197741
333	156513	197281
334	157007	196845
335	157489	196392
336	157927	195886
337	158385	195405
338	158911	195005
339	159435	194605
340	159894	194124
341	160308	193588
342	160760	193099
343	161188	192582
344	161603	192050
345	162083	191595
346	162576	191155
347	163142	190802
348	163663	190393
349	164157	189953
350	164646	189507
351	165133	189059
352	165644	188637
353	166147	188207
354	166617	187738
355	167110	187295
356	167649	186903
357	168164	186483
358	168654	186037
359	169162	185608
360	169649	185157
361	170147	184718
362	170682	184318
363	171255	183958
364	171776	183542
365	172282	183108
366	172811	182700
367	173304	182252
368	173825	181833
369	174327	181395
370	174849	180976
371	175442	180630
372	175952	180197
373	176440	179742
374	176943	179303
375	177454	178870
376	178024	178497
377	178611	178138
378	179160	177742
379	179652	177288
380	180210	176899
381	180765	176506
382	181277	176071
383	181802	175647
384	182371	175265
385	182883	174828
386	183361	174358
387	183893	173940
388	184390	173487
389	184900	173047
390	185406	172603
391	185966	172208
392	186443	171737
393	186989	171328
394	187525	170909
395	188123	170546
396	188642	170111
397	189138	169654
398	189605	169171
399	190097	168711
400	190602	168262
401	191263	167950
402	191755	167488
403	192279	167054
404	192779	166599
405	193292	166155
406	193803	165708
407	194299	165249
408	194827	164817
409	195352	164382
410	195911	163974
411	196428	163531
412	196926	163072
413	197467	162648
414	198016	162230
415	198473	161736
416	198917	161232
417	199343	160714
418	199770	160197
419	200190	159676
420	200629	159168
421	201093	158682
422	201595	158226
423	202068	157747
424	202547	157272
425	203021	156793
426	203469	156295
427	203944	155817
428	204399	155324
429	204860	154836
430	205320	154347
431	205821	153889
432	206320	153430
433	206861	153001
434	207352	152535
435	207882	152097
436	208365	151625
437	208864	151164
438	209355	150697
439	209861	150241
440	210380	149794
441	210978	149403
442	211472	148937
443	211972	148475
444	212497	148032
445	212991	147565
446	213491	147103
447	213982	146635
448	214474	146167
449	214969	145701
450	215459	145232
451	215913	144738
452	216407	144271
453	216985	143860
454	217483	143395
455	217986	142933
456	218491	142473
457	219019	142028
458	219554	141586
459	220130	141170
460	220615	140696
461	221143	140248
462	221791	139876
463	222279	139403
464	222744	138915
465	223247	138451
466	223717	137967
467	224188	137483
468	224701	137024
469	225234	136578
470	225725	136106
471	226222	135637
472	226720	135169
473	227231	134708
474	227742	134248
475	228212	133763
476	228701	133289
477	229302	132880
478	229755	132385
479	230220	131897
480	230721	131429
481	231333	131025
482	231889	130588
483	232395	130122
484	232940	129678
485	233439	129208
486	233960	128750
487	234659	128389
488	235364	128030
489	235912	127585
490	236431	127124
491	236956	126665
492	237474	126203
493	237980	125734
494	238475	125259
495	238984	124792
496	239476	124315
497	239995	123852
498	240485	123375
499	240913	122866
500	241352	122362
501	241876	121902
502	242412	121447
503	242944	120990
504	243462	120526
505	244021	120081
506	244555	119624
507	245105	119175
508	245621	118708
509	246136	118242
510	246641	117769
511	247247	117345
512	247802	116897
513	248348	116443
514	248880	115983
515	249375	115505
516	249900	115041
517	250405	114567
518	250906	114092
519	251405	113615
520	251907	113140
521	252393	112658
522	252922	112194
523	253377	111698
524	253951	111254
525	254435	110771
526	254931	110293
527	255417	109809
528	255933	109340
529	256415	108855
530	256926	108383
531	257385	107888
532	257857	107400
533	258255	106880
534	258718	106388
535	259265	105931
536	259778	105459
537	260288	104986
538	260811	104518
539	261357	104059
540	261858	103581
541	262374	103110
542	262958	102665
543	263481	102195
544	263990	101720
545	264512	101251
546	265010	100771
547	265486	100284
548	265943	99789
549	266411	99298
550	266921	98823
551	267428	98347
552	267937	97872
553	268500	97416
554	268993	96934
555	269541	96472
556	270105	96015
557	270652	95553
558	271175	95081
559	271680	94602
560	272161	94116
561	272686	93645
562	273176	93161
563	273702	92690
564	274184	92203
565	274626	91704
566	275102	91215
567	275561	90721
568	276042	90235
569	276568	89763
570	277159	89312
571	277798	88876
572	278345	88409
573	279022	87984
574	279544	87509
575	280051	87029
576	280595	86561
577	281134	86091
578	281701	85629
579	282479	85230
580	283070	84774
581	283566	84290
582	284064	83806
583	284563	83322
584	285044	82833
585	285542	82349
586	286039	81864
587	286520	81375
588	287008	80888
589	287523	80408
590	288088	79943
591	288618	79467
592	289166	78996
593	289745	78533
594	290264	78054
595	290843	77590
596	291336	77104
597	291839	76619
598	292365	76141
599	292918	75670
600	293440	75191
601	293953	74709
602	294438	74220
603	295076	73769
604	295714	73317
605	296184	72824
606	296667	72334
607	297148	71843
608	297652	71358
609	298149	70871
610	298661	70388
611	299150	69899
612	299722	69429
613	300267	68953
614	300868	68490
615	301397	68010
616	301908	67525
617	302410	67039
618	302931	66556
619	303429	66069
620	303960	65588
621	304537	65118
622	305106	64645
623	305693	64176
624	306270	63704
625	306900	63243
626	307717	62819
627	308387	62365
628	309122	61922
629	309861	61480
630	310609	61038
631	311504	60625
632	312216	60174
633	312985	59733
634	313736	59288
635	314562	58856
636	315592	58461
637	316639	58067
638	317504	57637
639	318540	57237
640	319322	56790
641	320101	56341
642	320808	55879
643	321528	55418
644	322233	54954
645	323066	54511
646	323932	54072
647	324857	53641
648	326406	53311
649	327783	52949
650	329122	52578
651	330790	52256
652	332489	51935
653	334332	51632
654	335707	51253
655	336649	50805
656	337816	50389
657	339321	50021
658	340565	49611
659	341223	49115
660	341855	48614
661	342530	48119
662	343125	47613
663	343755	47111
664	344485	46622
665	345171	46126
666	345902	45636
667	346581	45138
668	347226	44636
669	347938	44141
670	348536	43631
671	349129	43121
672	349713	42609
673	350344	42103
674	351142	41616
675	351934	41128
676	352528	40616
677	353086	40099
678	353665	39585
679	354220	39068
680	354738	38547
681	355181	38018
682	355556	37481
683	355938	36946
684	356392	36419
685	357025	35910
686	357706	35406
687	358346	34897
688	358907	34380
689	359409	33857
690	359872	33331
691	360324	32804
692	360776	32277
693	361273	31754
694	361741	31229
695	362210	30704
696	362633	30176
697	363068	29648
698	363535	29124
699	363986	28598
700	364509	28079
701	364989	27556
702	365461	27032
703	366067	26519
704	366623	26001
705	367181	25484
706	367726	24965
707	368266	24447
708	368789	23927
709	369268	23404
710	369761	22882
711	370213	22358
712	370636	21832
713	371110	21310
714	371638	20790
715	372200	20273
716	372696	19752
717	373195	19231
718	373665	18709
719	374398	18199
720	375008	17684
721	375592	17166
722	376207	16650
723	376837	16135
724	377420	15617
725	377934	15096
726	378497	14577
727	379036	14057
728	379523	13535
729	380014	13014
730	380494	12492
731	380974	11970
732	381472	11449
733	381989	10928
734	382549	10409
735	383056	9888
736	383533	9367
737	384027	8846
738	384508	8324
739	385000	7804
740	385459	7282
741	385964	6762
742	386469	6241
743	386960	5721
744	387455	5200
745	387940	4680
746	388375	4159
747	388847	3638
748	389583	3120
749	390139	2600
750	390658	2080
751	391182	1560
752	391677	1040
753	392170	520
754	392703	0
